breakpoints,primitives,points
0,movej_fit,"[array([ 0.62735068,  0.84189669, -0.24971871,  1.709368  , -0.90110558,
        0.79538912])]"
8272,movec_fit,"[array([2314.29540414,  959.22867249,  702.33372784]), array([2284.73159152,  827.38662938,  677.38591183])]"
15184,movec_fit,"[array([2250.64005249,  713.31207384,  674.61486529]), array([2211.94395508,  601.2698189 ,  685.3700994 ])]"
18271,movel_fit,"[array([2176.58889879,  499.49190492,  697.77678781])]"
23028,movel_fit,"[array([2121.95162764,  342.14730769,  726.4101485 ])]"
30944,movec_fit,"[array([2083.86664746,  206.17901279,  745.29006803]), array([2055.84054535,   66.83906727,  753.81827692])]"
38406,movec_fit,"[array([2047.51676438,  -66.45745515,  740.4225687 ]), array([2059.71784005, -194.47180494,  702.20028882])]"
44813,movec_fit,"[array([2088.90675663, -288.4089694 ,  648.17083207]), array([2131.48379781, -368.17035461,  581.74155797])]"
47463,movec_fit,"[array([2151.38107003, -396.9186353 ,  552.37396708]), array([2172.47005137, -424.53222511,  522.85649626])]"
48823,movel_fit,"[array([2193.97003808, -453.03186889,  492.22606698])]"
50000,movel_fit,"[array([2216.30515063, -474.57837572,  462.57809432])]"
