trans_x,trans_y,trans_z,rot_x,rot_y,rot_z,
2.04081,0.612687,1.1725,0.972905,-3.05215,0.25893,
1.99526,0.586029,1.1349,0.975948,-3.12241,0.332007,
1.9495,0.560035,1.10014,0.975195,3.09222,0.405701,
1.90507,0.53345,1.06854,0.971357,3.02795,0.480027,
1.86336,0.504775,1.04047,0.965544,2.97045,0.553849,
1.82522,0.472733,1.01634,0.958985,2.9215,0.624822,
1.79113,0.436407,0.99649,0.952832,2.88216,0.689719,
1.76082,0.395727,0.980972,0.947784,2.85207,0.746007,
1.7343,0.350442,0.969732,0.944494,2.83129,0.791288,
1.71086,0.301382,0.962299,0.942806,2.81815,0.825691,
1.68992,0.248349,0.956833,0.942711,2.81125,0.851883,
1.67248,0.189553,0.952265,0.944572,2.81224,0.869602,
1.6586,0.128497,0.952388,0.947421,2.8203,0.875337,
1.64699,0.0662922,0.955252,0.950464,2.83224,0.874792,
1.63629,0.00417018,0.958922,0.952503,2.84451,0.873136,
1.62966,-0.0605075,0.965699,0.956,2.86387,0.864226,
1.62482,-0.125724,0.972646,0.958766,2.88449,0.855323,
1.62387,-0.193594,0.979682,0.961283,2.90989,0.844591,
1.62624,-0.262874,0.986201,0.962659,2.93797,0.833844,
1.63218,-0.333277,0.991785,0.962443,2.96836,0.823396,
1.64187,-0.404374,0.99591,0.960036,3.00037,0.813507,
1.65513,-0.475433,0.997934,0.954695,3.03264,0.804524,
1.67142,-0.545478,0.997104,0.945569,3.06312,0.796852,
1.68959,-0.61321,0.992676,0.931736,3.08885,0.791025,
1.70792,-0.677113,0.984084,0.912225,3.1061,0.787698,
1.72379,-0.735288,0.971099,0.887574,3.11088,0.78816,
1.73426,-0.785944,0.953414,0.854468,3.09689,0.794429,
1.73823,-0.827834,0.932185,0.813945,3.06387,0.807918,
1.73491,-0.859745,0.908029,0.76558,3.01163,0.831633,
1.72462,-0.880836,0.881038,0.709075,2.94199,0.869946,
1.70916,-0.891225,0.85053,0.645022,2.85932,0.928506,
1.69226,-0.893099,0.81542,0.576437,2.77157,1.01238,
1.68633,-0.902542,0.77065,0.547782,2.7144,1.09423,
1.68835,-0.906917,0.740446,0.469808,2.65443,1.18214,
